,neg_sent,neu_sent,pos_sent,Topic0,Topic1,Topic2,Topic3,y_3,y_7,y_30,y_90
139,0.013999999999999999,0.856,0.131,0.96,0.01,0.01,0.01,False,True,False,True
140,0.03,0.86,0.11,0.95,0.02,0.02,0.02,True,True,True,True
141,0.02,0.87,0.11,0.96,0.01,0.01,0.01,True,True,True,True
142,0.015,0.85,0.135,0.96,0.01,0.01,0.01,False,False,False,True
143,0.026000000000000002,0.8490000000000001,0.125,0.02,0.02,0.95,0.02,False,False,False,False
144,0.025,0.843,0.131,0.02,0.02,0.95,0.02,False,False,False,False
145,0.013000000000000001,0.821,0.16699999999999998,0.02,0.01,0.95,0.01,True,True,True,False
146,0.016,0.843,0.142,0.02,0.02,0.95,0.02,True,True,False,True
147,0.033,0.8590000000000001,0.10800000000000001,0.02,0.02,0.95,0.02,True,True,True,True
148,0.024,0.845,0.132,0.52,0.01,0.46,0.01,True,False,False,False
149,0.018000000000000002,0.8240000000000001,0.157,0.02,0.02,0.95,0.02,True,True,True,True
150,0.027000000000000003,0.8240000000000001,0.149,0.94,0.02,0.02,0.02,False,False,False,False
151,0.011000000000000001,0.8140000000000001,0.175,0.94,0.02,0.02,0.02,True,True,True,True
152,0.03,0.843,0.127,0.94,0.02,0.02,0.02,True,True,True,True
153,0.023,0.84,0.138,0.95,0.02,0.02,0.02,True,True,True,False
154,0.02,0.853,0.127,0.02,0.02,0.94,0.02,False,True,True,False
155,0.006,0.831,0.163,0.23,0.02,0.73,0.02,True,True,False,False
156,0.021,0.8290000000000001,0.15,0.2,0.02,0.76,0.02,False,False,False,False
157,0.021,0.823,0.156,0.24,0.02,0.72,0.02,True,True,True,False
158,0.019,0.8420000000000001,0.139,0.96,0.01,0.02,0.01,False,False,False,False
159,0.023,0.897,0.08,0.96,0.01,0.01,0.01,False,False,True,True
160,0.006,0.838,0.156,0.95,0.02,0.02,0.02,False,False,False,True
161,0.02,0.848,0.132,0.96,0.01,0.01,0.01,False,False,False,True
162,0.015,0.809,0.17600000000000002,0.95,0.01,0.02,0.01,False,False,False,False
163,0.021,0.831,0.14800000000000002,0.96,0.01,0.02,0.01,True,True,True,True
164,0.023,0.836,0.141,0.95,0.02,0.02,0.02,True,True,False,False
165,0.022000000000000002,0.87,0.10800000000000001,0.96,0.01,0.01,0.01,False,False,False,False
166,0.015,0.8290000000000001,0.156,0.94,0.02,0.02,0.02,False,True,False,False
167,0.017,0.843,0.14,0.94,0.02,0.02,0.02,True,True,True,False
168,0.027999999999999997,0.828,0.14300000000000002,0.94,0.02,0.02,0.02,False,False,False,False
169,0.013000000000000001,0.815,0.17300000000000001,0.95,0.02,0.02,0.02,False,False,False,False
170,0.03,0.8140000000000001,0.155,0.02,0.02,0.95,0.02,True,False,True,False
171,0.026000000000000002,0.8029999999999999,0.171,0.01,0.01,0.96,0.01,False,True,True,False
172,0.016,0.8220000000000001,0.162,0.01,0.01,0.96,0.01,False,False,True,True
173,0.009000000000000001,0.8809999999999999,0.11,0.02,0.02,0.95,0.02,True,True,True,True
174,0.026000000000000002,0.8320000000000001,0.142,0.25,0.01,0.73,0.01,False,False,False,False
175,0.017,0.855,0.127,0.27,0.01,0.7,0.01,False,False,False,False
176,0.019,0.847,0.134,0.02,0.02,0.95,0.02,False,False,False,False
177,0.039,0.8440000000000001,0.11699999999999999,0.02,0.02,0.94,0.02,True,True,False,False
178,0.034,0.825,0.141,0.84,0.05,0.05,0.06,True,True,False,False
179,0.013999999999999999,0.851,0.135,0.84,0.05,0.05,0.05,False,False,False,False
180,0.017,0.8220000000000001,0.161,0.83,0.05,0.06,0.06,False,False,False,False
181,0.017,0.813,0.17,0.85,0.05,0.05,0.05,False,False,False,False
182,0.046,0.821,0.133,0.95,0.02,0.02,0.02,True,True,True,False
183,0.025,0.823,0.152,0.94,0.02,0.02,0.02,True,True,True,True
184,0.02,0.852,0.127,0.9,0.03,0.04,0.03,False,False,False,True
185,0.027999999999999997,0.85,0.122,0.92,0.03,0.03,0.03,True,True,True,True
